provider,token_amounts_a,token_amounts_b,fees_a,fees_b,invariant,token_supply,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0xb4b472109a165c229F85aF509601D1a9D0f19A57,0,170000000000000000,4230659890104,4231863822642,170629023752413065207561,158059070409582737175928,AddLiquidity,85,35,0x2a107f37684b9ff7abd825471b9d66bded68af17c5c9199ca01eda45f63079ca,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd14dce0dfaab8f09c22b9852c1136bf623661f9175230115accdfd543e1775af,18068731,2023-09-05 07:16:47
0x068287025Be1D8597184e04771Fe5286fEfB47De,30000000000000000,0,753392347037,753619565789,170629055733160706682056,158059098202336658888287,AddLiquidity,93,53,0x119be4a1090182f53b27aca51379477f9bc760977a7dfdcbb82fb3bfcbe10b74,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf1338a2eda9b68fa5d1f3e183962e55027879f5256482a4a794b4e03a0ff47be,18068765,2023-09-05 07:23:35
0xBfee6B00F8Be2BD4c59349f95B71e93626FA9AEc,0,42000000000000000,1042931232716,1043370369443,170629266380677234536593,158050952384631291707661,AddLiquidity,65,41,0x03c2ed524759fc41a12320bc04ff41be32084c27408a77d67db7f3250c25de73,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x100f636fc531b8492b57ecb084a915d28b69b5bae0fd7ae173098e0dec148958,18071431,2023-09-05 16:20:47
0xd0076bfef326a1845d8edCbA67DEC7D2D370574D,2352268497,0,59350,59387,170628806124759013380771,158050300654948646993588,AddLiquidity,154,19,0xfe20c89cbd146ea8299e2a532153b62993509c8cdcd33803dcb144e074946529,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xab74885dfc895cf5333c2599ebf09c66e334b3f435732062ff5a864e0864d992,18074734,2023-09-06 03:27:47
0xdB864FB636eA37B61D02229AebaC8b0679760BD2,97074181402193,0,2449117028,2450615526,170613230405490487417970,158035867474828015036291,AddLiquidity,115,2,0x8d4add4f8cab0e4b15c902c98cf4c22bbe380da4384f246fbfa47847056eaeff,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb7928434951093c12e952e28ec697c91e7ad837c49f47825bd8e0d767fae0411,18075022,2023-09-06 04:25:35
0x45370DD1E31ed2A11A84135046000fb3087B666F,100000000000,0,2519251,2520544,170525777434414901562861,157954801773408498639154,AddLiquidity,71,35,0x6a326745d67e6926bbe5de5ecb0a86124c5b466dc381ed60b210baada74b4dd1,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x6f484ff73930be3dee87d87f34a83b77f2a9ae8b48209fadadabb4761a6fd65a,18076392,2023-09-06 09:02:47
0x58fd6332A7F021B649Ca736d367a6e5E613B3CcB,100000000000000000,180000000000000000,1954232160452,1955049453322,170509362035267862739994,157939572012142262246894,AddLiquidity,238,76,0xdc982c877a85233aa59755f8b88d84c6d9b28f996ec4a4911e378d621c45ed28,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x7dab3183882b06691fbec9e5a7fab23a499dc7af4fb4a99e200478e50aa63b7a,18076803,2023-09-06 10:26:11
0x030D77F0C4363B843Ee6C25Ec9354F4836478F46,10000000000000000,10000000000000000,4760263770,4763189945,170509395930533889201191,157939590537777822482054,AddLiquidity,50,42,0xad16c862dd7323c3b74992ec7954969fd453ca7ed7b52b5cbc26f18e08287cd5,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9431264476c3c780fb683b8215f63dfe37d61f8cd8686c3bb48864b83c7358d6,18077276,2023-09-06 12:02:35
0x271fbE8aB7f1fB262f81C77Ea5303F03DA9d3d6A,19627710510696609,20005146434921893,0,0,170509415563803744880899,157939608723245520482559,AddLiquidity,124,43,0x36b2a44b811645e333a9ca212f475e297973900bfff2c02963471bf2b8dc31ff,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x6ea0d1f19583524c0f77ae1e4aaa9080e6d097bffe9984795785141461f64ced,18077301,2023-09-06 12:07:35
0xb4b472109a165c229F85aF509601D1a9D0f19A57,0,20000000000000000,495057732013,495363900742,170518807760059864249160,157939627241228138871476,AddLiquidity,155,74,0x5d01cd49a400ce3b413261f92668f9d3c6d2e389bc8dcfaef7d3d5c48a9583e9,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x933ee5e9f8c596081d5fd2e8feab1df7328d1a8faf1d7a94017b20ef85fa9ec7,18077402,2023-09-06 12:28:23
