provider,token_amounts_a,token_amounts_b,invariant,token_supply,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0x3AcC790459861F00750f2797A3bA0Eb5Adfb86F3,94009000000000000000,117600240270200000000,170533721132021559437528,157927309210356230477237,RemoveLiquidityImbalance,283,150,0x189123acb4fef689ee0ea424da309fb4652d1c2d31680951551700b5e6edc63c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x1ce215cb98def506995529b3e3ee99a01c4abf4cdd3cd570124e017f43a1bbc9,18105680,2023-09-10 11:28:59
0x09988E9AEb8c0B835619305Abfe2cE68FEa17722,15365150630000000000,15648540900000000000,170345770606520327289930,157737483635044075731818,RemoveLiquidityImbalance,87,58,0x51fb3e8f7c05881fdde52562447bd24c7e33664274a59ddd38077b5628052543,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x29aef83341e628ee7b6db5b4f6ef9040316ee0b7ba0161a1d8488ddad5f90c49,18113664,2023-09-11 14:19:35
0xc653068C5DAe94F53C8531C53284fc7b64d0fD7E,19941530000000000,20062700000000000,159862881801842492152131,148029708966726313711777,RemoveLiquidityImbalance,41,34,0x4c8fa157f6ccd1a959de41096e3a37e47e53eb51fa8647539961d21165ddf902,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x17be9ae06fe088bbbf7994173e85058bea00e94b16b46ceb7eee6cce7f5fb4ad,18118048,2023-09-12 05:03:47
0x3AD9690724747F141310A871519f17B156Ffa47B,25000000000000000,0,158517546140516266455182,146679531263805881739573,RemoveLiquidityImbalance,143,33,0xcdc1cfcb47a2b03f47f62ab16e3cca54255ccd0ce5c290048222fbd8b1d236bb,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x0f16c8c2af1227fdc682e61f8b5cda14f615f5ca99eeb78deaec330c43b2fcff,18214377,2023-09-25 17:46:35
0x0dBa6703f0963ff437Bf24957aC559e7d54A1B30,3326159680291440860,0,121253553334368744332277,112050558299549748965852,RemoveLiquidityImbalance,155,55,0x3b16a21b410848f5393115485ecb075a06cc18121193aa3c6b9f899e670d4fd2,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x7cbab7d0ed5e6d7ab6149f1defc565a9543a3f87f0a9b830928df98cfb54fbf6,18399080,2023-10-21 13:48:23
0x0dBa6703f0963ff437Bf24957aC559e7d54A1B30,2627322610656324837,0,121254837681748332466832,112046395438413562365797,RemoveLiquidityImbalance,218,136,0x4ea4d592af9636c30229b13f31a1a73ee160bfe3334b50664c358e1ed1ff45fe,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8b6feb92c44d2c9ad5ce7e5a8ce3d34e3b93033cb7d1d9cc5511733a091b8d31,18406000,2023-10-22 13:00:47
0x0dBa6703f0963ff437Bf24957aC559e7d54A1B30,2888450993539260971,0,121032391710007736782587,111835116819756530789877,RemoveLiquidityImbalance,249,102,0x8da8ee8f15100573aad1b7e1a84066cf10db6557d78864f1a5a52e31a4e9eaab,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd1bfb5562c83da296d6a73c77108963374d80d9e816b54a925d5af2d3464e34a,18413272,2023-10-23 13:29:47
0x0dBa6703f0963ff437Bf24957aC559e7d54A1B30,513287673515441870,0,120745117036247480197330,111544173176155753389709,RemoveLiquidityImbalance,417,213,0x7795c88575ac109d21a347d4aef9b2cb2bc82b6a8eb048bd90c5e2c6179c114e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8e7a175f400a166d664fc4bbe8e53a07f36bbd2a3bc80de96a011e49c1fe29bd,18446328,2023-10-28 04:30:35
0xDe9Ec88bD671C79DB2F7D4FEDa7aC868D3e65FFD,1500000000000000000,8475631343000000000,120485244903696383344697,111256020311427139241612,RemoveLiquidityImbalance,149,70,0x756f6dbab3d3c7f3581d2605888d82882a97cbf48987164d060dccd66c2f2c94,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xad8c1569ccc8396690a3ea970140049adea02198bb41674fdeca1dd5661cc9a4,18499356,2023-11-04 14:46:35
0x1b5e561d0325588D3E64459F331Da8684286A3cB,3047700000000000000000,3072748000000000000000,114130000303897469531117,105371465343771871627709,RemoveLiquidityImbalance,55,14,0x5f5f83e400ab708e2801e054f92a5614b48354376fd2b09455a99d7f5cef1d34,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8f977402fe8d359cbd97146bd4b4bd9be00038412eebb55fc0d6623729ed2eb8,18523034,2023-11-07 22:22:11
