provider,token_amount,coin_amount,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0x9D71657276a25c1D3B84E3Cb570E58e5B51741F3,17174173717176398406,18541718549569735010,RemoveLiquidityOne,176,79,0x8ba9c983a21ff5ddc1fdf1d7106d9740bc7aad101e46d98327549db552b5e913,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xce45996670f323d16a724978a2e6194f3b8d41f18432162cd395da3911b5455a,18068644,2023-09-05 06:58:59
0xb4b472109a165c229F85aF509601D1a9D0f19A57,157446192482252514,169984513791048663,RemoveLiquidityOne,247,98,0xdcd7fc3c2a0fe684750c3b811839a18a8bee6686cd21d8624b08efbc611b1fda,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xc0fa9a9c7dd1eb98556182c587ed59442df33d51103547d514ffc911db6da99c,18068895,2023-09-05 07:49:59
0x068287025Be1D8597184e04771Fe5286fEfB47De,27792753921712359,30000977137960617,RemoveLiquidityOne,141,71,0x4849df982a01c43c0c32e27ceebb1b2c2f17ee9fe17ca0360bfaaaad3210816f,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x25c757418eb65c19ee61c3d87d3f5053e1df3a06d748326cf42da16065367ec6,18069283,2023-09-05 09:08:23
0x60674ffd5FB1F22F9DAf3014a93f59e037227B68,223045120593914862,240749183658934665,RemoveLiquidityOne,150,62,0x049ca0818ed6db3d80f635fa50c3980b27e2443b9f60b2ba64344dc0332b676d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x080cf903bbd913a27cd46135ba8c7da61ed1896ad64caa5ad4bf3419376be7a1,18070049,2023-09-05 11:42:35
0xFd459AECaf4A3dFE2F6594bC9c875Dc2593B039F,7776427420909868221,8392121363313785511,RemoveLiquidityOne,308,135,0x485fda523b48973123a38a8ec77c41aeeb8260b649b7fb5e7ac3be2bcf385c25,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x95d3c7f131d17da52d132f52abd99910618908de70c2af8f4a7d00d9ae1bc678,18071168,2023-09-05 15:27:35
0x030D77F0C4363B843Ee6C25Ec9354F4836478F46,101356426712916314,109392005126598451,RemoveLiquidityOne,222,78,0x8ab358c23c60479596b2ea7f6029277ff33e927c6affb0cd795bcd7921ab0497,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x1e969651d43f3ef313c9754db27014fdb34fd08f59a73f67f9334a96706ad036,18071507,2023-09-05 16:36:11
0xa6B5e232A725088c4B11660D55e6D70E86C96782,550373258111225521,593969596468602144,RemoveLiquidityOne,220,82,0x764d5f9d4ebe3b97d0864a43d4c40a76bb517af1f4b8eb7a8e1bf90c68a0146b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf4b1ffe443746c9cf0643735aafe1e2c91e74168bf65effb3beaf339aba2bdd3,18072542,2023-09-05 20:05:47
0x0e5437b1b3448D22C07caED31e5BCdC4eC5284a9,14433270061735478277,15585943748902981798,RemoveLiquidityOne,444,183,0x57e49dd005451bcc5cada52008f5d36480e1e483806da56e8fba9a7a6023f172,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x1132c49c0ec2745d0472a747504eb4c917e622d69c517488e939037bcc202766,18074960,2023-09-06 04:13:11
0x506f4CEac12cE17426eE4C84f6209813c6A08683,25054151643008680797,27038355032433593630,RemoveLiquidityOne,305,147,0xcac948bf9027997dab1610786bb1bf9f2cb07570525322f0d42cd5c7437a67d6,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x407b710fe45c9c5fbef975a8769d3958ecd22ea8cf1297cbd7300dd6f31ca2ec,18075068,2023-09-06 04:34:47
0x43F085fa5e7B14a1e1cD9cf4A1F4e1D2c7464694,2518480329179217491,2719255566111054273,RemoveLiquidityOne,76,53,0x733139630e3fef39a0fcfe0f1f7c79c387190240aaa5be4072085b113e2bc94c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2f196cf581a2b72b7c05fe7bd8d37107ecbb725a9304e3eca69a321401b58637,18075451,2023-09-06 05:51:35
0x749deb7177a52EFbb46C320839a0645De5aa0fd4,34693294496524150855,37460461294997016844,RemoveLiquidityOne,118,65,0x969b2690e9bd15873c8f464f1f763409b288493b63bfb881fbb4832b31fbe600,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x79eb30052459b0b7b2cefcca9685087536ca72d1f8a4a8f6d6d6f3c4e524329e,18075813,2023-09-06 07:05:23
0xDfc968aA66A31C25fc999e57E4FFc39104Db94E3,18799775043451661366,20299151846397876915,RemoveLiquidityOne,136,46,0x5541a22e8630276dda63102e322eb85b671f0d0314d892780a2c62aaed4dcc53,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xcff728b36226b2a31a72b1bf3622506c40096c78b6f9bb9b76c36e390fe2d2df,18075909,2023-09-06 07:24:59
0x030D77F0C4363B843Ee6C25Ec9354F4836478F46,18525635560235160,20005146434921893,RemoveLiquidityOne,202,70,0xc17f095046e671997f99556dc2e89e9d530579e19f578e55f3125e85d06156f3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x03d18186894acb3710e159d94fcf244b07811b1c1fd9c008d950f389add7bc3d,18077294,2023-09-06 12:06:11
0xAb9e491bA682bB256Ae31841641B0835FaB75E08,8011072591617023916,8646390459710116873,RemoveLiquidityOne,350,123,0x91318ce0f58959e73145d62fba388081cf7798a9c8622c5d5037f66300757374,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd9ddc9d32a29ed46e4d8da4dd83c8d55b1e15d2187dbaee5108aa62ae6f4e473,18078034,2023-09-06 14:35:47
0xd2FBdaD84824Be4578DbCD6139EDD2ed969134Ec,503827948167699882,544078553402534755,RemoveLiquidityOne,288,106,0xf0bf1fbbad37f503cbfc7fd29ace38c9339ecdb4a4b9b3c89332d0a349d10d53,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd444210b36cd4d851608571512141bc63626959a2ec3412ed486d5120b3ff845,18078158,2023-09-06 15:00:35
0x7Fb69e8fb1525ceEc03783FFd8a317bafbDfD394,7284905430422982781,7860929828026136380,RemoveLiquidityOne,189,41,0xa7f61de735c55208173a8f18fbb970739392dab11b64b682d0eb3071d80698ec,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb3b3ae71a5adddafd7ab76153ed018d074b0fc1fae468a5e31f57746d0cd044c,18079314,2023-09-06 18:53:23
0x60427A54ff81a4c7390bafFe2f52965534126eE4,9375290823243263271,10124794740199205591,RemoveLiquidityOne,240,72,0x3013ce788a16340eba7e7f39e2f4dba08acc1165a6e1f3439e43147b6b7c285e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x39f16d2095afb199050c3b4ca99807f834f3b3719af98a06d9dc7b691e4d9cac,18079374,2023-09-06 19:05:35
0x424e8Ce4B3fC93606F17e9d7C2F201884079a805,387943352763713785,418661961298105323,RemoveLiquidityOne,334,100,0xefd2f3c661dc700e953a5f1f5b1ed2112585db8889cf9e9da0715b3fd6db14c8,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe64fc45ff4225288329d36a553176449d48eb165a77bec0904d094a8226e46c2,18079691,2023-09-06 20:10:11
0xEbA684D78b856F2aFD520685C312e69797917B0d,3070548465554757106,3313584576512200951,RemoveLiquidityOne,96,79,0x179eab24623ed9f505eef93060c00c15d5fb9b531578d30fb375eea870637d28,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x360674dd839b1fb0b83ca5a20ec7dedc6ccae6575e8a578aea8b1c23265d70e2,18080608,2023-09-06 23:14:11
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,10953345846001030755,11828859863884711076,RemoveLiquidityOne,61,5,0xcec5c24d7df69a95fc43a75328d06d7cd2ff14e0f61571835688366a1cb9034c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x3c31af0c96c243587614aeceb60fc1bd4587fa141564f5168f8fc1ebd64b0523,18081774,2023-09-07 03:09:11
0xAb9e491bA682bB256Ae31841641B0835FaB75E08,20653861427266890400,22292690139651573898,RemoveLiquidityOne,301,133,0x2ff9cb0ec34fa1316ccb028bbb9049957d7d6fc7b3a5c4030dbd0738cf857b64,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xdd3a24753e5a25bf4cecacef87a078ed5360f518a27a1dc1b3ef063e5f66326e,18083709,2023-09-07 09:38:59
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,995016572625773000,1074462617357618500,RemoveLiquidityOne,80,7,0xa71dde74719d8005d92c19fab1cdd011572dacba4a94dec5dd40f2f7491403ae,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x1b2f6714cb6845f3fb7825ad42a67149e7e51674a66444347aace818ac5274bb,18083772,2023-09-07 09:51:35
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,1530463387998847774,1652581145925598547,RemoveLiquidityOne,19,2,0x7c5ae728380c8a326b170c20cd2f8f6701171f1f4935af9257b27a8ee979b7b9,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9908d59c545e645cc6e061c8a0c3fbce42cda5c1d13dfec894f6ba0cc8794151,18084918,2023-09-07 13:43:11
