buyer,sold_id,tokens_sold,bought_id,tokens_bought,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,35837134723280768,0,35827183458089793,TokenExchange,90,30,0x599e11c8022ec62581da7d30627355bc467f987e69e42c33f49d9cec9a9d9e85,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2e52a6b189f5fc33b6963938554ce1d60c01fc8c3fd9567a5f01586070ba0f4c,18174799
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,37507467265504571,0,37497051064221143,TokenExchange,218,48,0xf8a2d96ffe0e4b8e1542a0eb53b030aafd192024d629da165ff661fd6ff545ff,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x3d2e80f5943e67289044ca30d361cf088703fe1dd0dacd4e9d689874e32166ca,18174861
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,0,11500000000000000000,1,11500840442293794850,TokenExchange,161,54,0x76234300c2749cf347eeceeac3fb97336346dcb40f636e2e569df08dc3d6975d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xbe95605a128d25bce8ada624837e0e3c6961e5acb81dc065c103205eda80a2d6,18174871
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,0,66000000000000000000,1,66002744165379113479,TokenExchange,332,106,0x0a1bcadc0c25808c40326c9f9c3abf182444750e529c7a4f1b7dff031236aad7,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xedc0642c540ede1f671b47f21772df0380119518c0c42e057c2976b0d130ae6f,18174913
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,35787124766926761,0,35779439377909224,TokenExchange,98,41,0xb7fad81075b8f03cd3ea56a70b909ee03cb3a5d09c9cc8dab4d43992e2a10f76,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x028e1b1355b4414b606b2e86b741e3ed768bf8404b566bb89d112ba4d87db198,18174927
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,36217210391571214,0,36209431580810109,TokenExchange,64,48,0x7dda92d769f03058b47680678136034e3c45544095c7c6f3a0496bf0136848db,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x7e39f5fd4ad6f7d68335c6659deaf6f9da747e32281967fb5201f933da28932b,18174962
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,36847335841631691,0,36839420597248785,TokenExchange,239,105,0xd147341a37418aacfaca46ffeae0fb7a15b7fd514bb93045e45c7a520ce280c3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8dad287cb773afc671d213b91884a5eafb6dbaf04a3536e75e95eac3a1695550,18175005
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,37517469256775373,0,37509408926162521,TokenExchange,129,50,0x98566445ab71b375c3a793718b20df032ffa350139f491b7819d0136f6bc7324,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x7b5d057df11a3157a6b6e030be9bf3a0ee6316d436c9697fa3377d67c9516c9d,18175059
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,35727112819301954,0,35719436069294562,TokenExchange,156,56,0x82a50e8b04ed227825ffc49bc56b71e60445b25303e3785af72d362f4547a639,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xc09604be50ab65f6f0790891e06eed93cb24bb7a384041e81a030f0df6270e77,18175101
0xF0d4c12A5768D806021F80a262B4d39d26C58b8D,1,38417648471147482,0,38409392443431820,TokenExchange,219,65,0x1d181069a3880dd8239c3881939d517f85bff86545b98db551478d458cc772bb,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x646e8e9b085ffb23bc08c4ab115f66d9ce0b9947248bddc8a39e1c3a195c4802,18175152
